,generated,actual
886,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_neg_sentiment] [-3674] [1610] [-5794] [5390] [7376] [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [factive_count_seller] [-3681] [1622] [-5767] [5368] [7346] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
887,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_neg_sentiment] [-3674] [1610] [-5794] [5390] [7376] [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_plural_count_seller] [-3675] [1609] [-5803] [5398] [7388] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
888,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] <eos_ns>
889,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
890,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_plural_count_seller] [-3675] [1609] [-5803] [5398] [7388] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] <eos_ns>
891,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] <eos_ns>
892,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] <eos_ns>
893,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] <eos_ns>
894,,<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] <eos_ns>
895,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_plural_count_seller] [-3675] [1609] [-5803] [5398] [7388] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
896,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
897,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_plural_count_seller] [-3675] [1609] [-5803] [5398] [7388] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
898,[seller_neg_sentiment] [-3674] [1610] [-5794] [5390] [7376] [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_neg_sentiment] [-3674] [1610] [-5794] [5390] [7376] [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
899,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
900,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_plural_count_seller] [-3675] [1609] [-5803] [5398] [7388] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] <eos_ns>
901,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_gratitude] [-3693] [1631] [-5792] [5398] [7378] <eos_ns>
902,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [assertive_count_seller] [-3678] [1618] [-5768] [5368] [7347] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
903,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [assertive_count_seller] [-3678] [1618] [-5768] [5368] [7347] <eos_ns>
904,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [who_propose] [-3670] [1605] [-5796] [5389] [7378] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [assertive_count_seller] [-3678] [1618] [-5768] [5368] [7347] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
905,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
906,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] <eos_ns>
907,[number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392],<sos_ns> [] <eos_ns>
908,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] [liwc_informal] [-3680] [1619] [-5798] [5396] [7379] <eos_ns>
909,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] <eos_ns>
910,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] <eos_ns>
911,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
912,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [who_propose] [-3670] [1605] [-5796] [5389] [7378] <eos_ns>
913,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [] [] <eos_ns>
914,[number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392],<sos_ns> [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
915,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_plural_seller] [-3671] [1605] [-5797] [5393] [7381] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_plural_seller] [-3671] [1605] [-5797] [5393] [7381] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] <eos_ns>
916,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_plural_seller] [-3671] [1605] [-5797] [5393] [7381] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [seller_propose] [-3680] [1617] [-5799] [5395] [7382] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_informal] [-3680] [1619] [-5798] [5396] [7379] <eos_ns>
917,,<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [liwc_informal] [-3680] [1619] [-5798] [5396] [7379] [politeness_seller_gratitude] [-3693] [1631] [-5792] [5398] [7378] <eos_ns>
918,[number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392],<sos_ns> [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
919,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] <eos_ns>
920,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] [liwc_certainty] [-3677] [1616] [-5790] [5387] [7371] <eos_ns>
921,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [hedge_count_seller] [-3685] [1624] [-5776] [5377] [7357] <eos_ns>
922,,<sos_ns> [] [] <eos_ns>
923,[number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392],<sos_ns> [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [factive_count_seller] [-3681] [1622] [-5767] [5368] [7346] [politeness_seller_greet] [-3676] [1611] [-5808] [5402] [7392] <eos_ns>
924,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [first_person_singular_count_seller] [-3672] [1607] [-5802] [5395] [7385] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [factive_count_seller] [-3681] [1622] [-5767] [5368] [7346] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377] <eos_ns>
925,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] <eos_ns>
926,[seller_pos_sentiment] [-3671] [1608] [-5793] [5387] [7374] [third_person_singular_seller] [-3673] [1610] [-5781] [5380] [7361] [number_of_diff_dic_pos] [-3666] [1604] [-5774] [5370] [7353] [number_of_diff_dic_neg] [-3688] [1633] [-5776] [5376] [7355] [personal_concern_seller] [-3668] [1606] [-5797] [5388] [7377],<sos_ns> [] <eos_ns>
